Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
What is the time zone of Salt Lake City?,['http://dbpedia.org/resource/Salt_Lake_City'],['http://dbpedia.org/ontology/timeZone'],['http://dbpedia.org/resource/Salt_Lake_City'],1.0,1.0,[],0,0.0
Who killed Caesar?,[],['ct:subjec'],['http://dbpedia.org/resource/Julius_Caesar'],1,1,['http://dbpedia.org/ontology/billed'],0.0,0.0
What is the highest mountain in Germany?,['http://dbpedia.org/resource/Germany'],[],['http://dbpedia.org/resource/Germany'],1.0,1.0,[],1,1
Which American presidents were in office during the Vietnam War?,['http://dbpedia.org/resource/Vietnam_War'],"['ct:subjec', 'http://dbpedia.org/ontology/commander']","['http://aksw.org/notInWiki/theVietnamWar', 'http://aksw.org/notInWiki/American']",0.0,0.0,[],0,0.0
Butch Otter is the governor of which U.S. state?,['http://dbpedia.org/resource/Butch_Otter'],[],"['http://dbpedia.org/resource/Otter', 'http://aksw.org/notInWiki/US']",0.0,0.0,[],1,1
How many gold medals did Michael Phelps win at the 2008 Olympics?,[],"['http://dbpedia.org/ontology/goldMedalist', 'contain']","['http://dbpedia.org/resource/Michael_Phelps', 'http://dbpedia.org/resource/Olympic_Games', 'http://aksw.org/notInWiki/2008']",1,1,['http://dbpedia.org/ontology/award'],0.0,0.0
Which artists were born on the same date as Rachel Stevens?,[],"['http://dbpedia.org/ontology/birthDate', 'http://dbpedia.org/ontology/birthDate']",['http://dbpedia.org/resource/Rachel_Stevens'],1,1,['http://dbpedia.org/ontology/birthYear'],0.0,0.0
What is the profession of Frank Herbert?,['http://dbpedia.org/resource/Frank_Herbert'],['bpedia2:occupatio'],['http://dbpedia.org/resource/Frank_Herbert'],1.0,1.0,[],0,0.0
Are Taiko some kind of Japanese musical instrument?,['http://dbpedia.org/resource/Taiko'],[],['http://aksw.org/notInWiki/Japanese'],0.0,0.0,[],1,1
How many seats does the home stadium of FC Porto have?,[],"['http://dbpedia.org/ontology/ground', 'http://dbpedia.org/ontology/capacity', 'http://dbpedia.org/property/capacity']",['http://dbpedia.org/resource/FC_Porto'],1,1,[],0,0.0
Which frequent flyer program has the most airlines?,[],['http://dbpedia.org/property/frequentFlyer'],[],1,1,[],0,0.0
Which European countries have a constitutional monarchy?,[],['ct:subjec'],['http://aksw.org/notInWiki/European'],1,1,[],0,0.0
Which countries have places with more than two caves?,[],[],['http://dbpedia.org/resource/More_Than_Two'],1,1,[],1,1
"Which airports are located in California, USA?","['http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/California']",['http://dbpedia.org/ontology/isPartOf'],"['http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/United_States']",0.5,0.25,['http://dbpedia.org/ontology/locatedInArea'],0.0,0.0
What are the nicknames of San Francisco?,['http://dbpedia.org/resource/San_Francisco'],['oaf:nic'],['http://dbpedia.org/resource/San_Francisco'],1.0,1.0,[],0,0.0
What is Angela Merkel’s birth name?,['http://dbpedia.org/resource/Angela_Merkel'],['http://dbpedia.org/property/birthName'],['http://dbpedia.org/resource/Angela_Merkel'],1.0,1.0,[],0,0.0
Who is the mayor of Berlin?,['http://dbpedia.org/resource/Berlin'],['http://dbpedia.org/property/leader'],['http://dbpedia.org/resource/Berlin'],1.0,1.0,[],0,0.0
Which countries in the European Union adopted the Euro?,['http://dbpedia.org/resource/Euro'],[],['http://aksw.org/notInWiki/theEuropeanUnion'],0.0,0.0,[],1,1
Which software has been published by Mean Hamster Software?,['http://dbpedia.org/resource/Mean_Hamster_Software'],[],['http://dbpedia.org/resource/Mean_Hamster_Software'],1.0,1.0,['http://dbpedia.org/ontology/publisher'],1,1
Which country was Bill Gates born in?,[],"['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/isPartOf', 'http://dbpedia.org/ontology/country']",['http://dbpedia.org/resource/Bill_Gates'],1,1,['http://dbpedia.org/ontology/birthYear'],0.0,0.0
How many grand-children did Jacques Cousteau have?,['http://dbpedia.org/resource/Jacques_Cousteau'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/child']",['http://dbpedia.org/resource/Jacques_Cousteau'],1.0,1.0,[],0,0.0
Give me all professional skateboarders from Sweden.,[],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/country']",['http://dbpedia.org/resource/Sweden'],1,1,[],0,0.0
Which monarchs of the United Kingdom were married to a German?,['http://dbpedia.org/resource/Germany'],['http://dbpedia.org/ontology/birthPlace'],"['http://aksw.org/notInWiki/theUnitedKingdom', 'http://aksw.org/notInWiki/German']",0.0,0.0,['http://dbpedia.org/ontology/spouse'],0.0,0.0
Give me all Argentine films.,['http://dbpedia.org/resource/Argentina'],[],['http://dbpedia.org/resource/Argentines'],0.0,0.0,[],1,1
How did Michael Jackson die?,['http://dbpedia.org/resource/Michael_Jackson'],['http://dbpedia.org/property/deathCause'],['http://dbpedia.org/resource/Michael_Jackson'],1.0,1.0,['http://dbpedia.org/ontology/deathDate'],0.0,0.0
Which U.S. state has been admitted latest?,[],['ct:subjec'],['http://aksw.org/notInWiki/US'],1,1,['http://dbpedia.org/property/known'],0.0,0.0
Which classes does the Millepede belong to?,['http://dbpedia.org/resource/Millipede'],['http://dbpedia.org/property/taxon'],['http://dbpedia.org/resource/Millipede'],1.0,1.0,['http://dbpedia.org/ontology/date'],0.0,0.0
