Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
What is the alma mater of the chancellor of Germany Angela Merkel?,[],['http://dbpedia.org/ontology/almaMater'],['http://dbpedia.org/resource/Angela_Merkel'],1,1,"['http://dbpedia.org/ontology/school', 'http://dbpedia.org/ontology/chancellor']",0.0,0.0
How large is the area of UK?,[],['http://dbpedia.org/ontology/areaTotal'],['http://dbpedia.org/resource/Ukrainian_language'],1,1,['http://dbpedia.org/ontology/area'],0.0,0.0
Who is the author of the interpretation of dreams?,[],['http://dbpedia.org/ontology/author'],[],1,1,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/description', 'http://dbpedia.org/ontology/picture']",0.3333333333333333,1.0
What is the birth name of Adele?,[],['http://dbpedia.org/ontology/birthName'],['http://dbpedia.org/resource/Adele'],1,1,['http://dbpedia.org/ontology/birthName'],1.0,1.0
What are the top selling luxury vehicle brands in Germany?,[],['ct:subjec'],"['http://dbpedia.org/resource/Luxury_vehicle', 'http://dbpedia.org/resource/Germany']",1,1,[],0,0.0
How many awards has Bertrand Russell?,[],['http://dbpedia.org/property/awards'],['http://dbpedia.org/resource/Bertrand_Russell'],1,1,['http://dbpedia.org/ontology/award'],0.0,0.0
Who is Dan Jurafsky?,[],['Da'],['http://dbpedia.org/resource/Daniel_Jurafsky'],1,1,[],0,0.0
When will start the final match of the football world cup 2018?,[],['http://dbpedia.org/property/date'],[],1,1,"['http://dbpedia.org/ontology/source', 'http://dbpedia.org/ontology/rival', 'http://dbpedia.org/ontology/trainer', 'http://dbpedia.org/ontology/title']",0.0,0.0
how much is the elevation of Düsseldorf Airport ?,[],['http://dbpedia.org/ontology/elevation'],['http://dbpedia.org/resource/Düsseldorf_Airport'],1,1,['http://dbpedia.org/ontology/elevation'],1.0,1.0
how much is the total population of  european union?,[],['http://dbpedia.org/ontology/populationTotal'],[],1,1,"['http://dbpedia.org/ontology/populationTotal', 'http://dbpedia.org/ontology/affiliation']",0.5,1.0
when was the founding date of french fifth republic?,[],['http://dbpedia.org/ontology/foundingDate'],[],1,1,"['http://dbpedia.org/ontology/institution', 'http://dbpedia.org/ontology/channel', 'http://dbpedia.org/ontology/state']",0.0,0.0
Who are the founders of  BlaBlaCar?,[],['http://dbpedia.org/property/founders'],['http://dbpedia.org/resource/BlaBlaCar'],1,1,['http://dbpedia.org/ontology/leader'],0.0,0.0
how many foreigners speak German?,[],['http://dbpedia.org/property/speakers'],"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/German']",1,1,"['http://dbpedia.org/property/foreigners', 'http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/country']",0.0,0.0
Where is the birthplace of Goethe?,[],['http://dbpedia.org/ontology/birthPlace'],['http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe'],1,1,['http://dbpedia.org/ontology/birthPlace'],1.0,1.0
Where is the origin of Carolina reaper?,[],['http://dbpedia.org/ontology/origin'],['http://dbpedia.org/resource/Carolina_Reaper'],1,1,['http://dbpedia.org/ontology/origin'],1.0,1.0
How much is the population of Mexico City ?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Mexico_City'],1,1,['http://dbpedia.org/ontology/populationUrban'],0.0,0.0
What is the nick name of Baghdad?,[],['oaf:nic'],['http://dbpedia.org/resource/Baghdad'],1,1,['http://dbpedia.org/ontology/status'],0.0,0.0
Who is the novelist of the work a song of ice and fire?,[],['http://dbpedia.org/property/author'],[],1,1,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/volume', 'http://dbpedia.org/ontology/anthem', 'http://dbpedia.org/ontology/frozen']",0.25,1.0
What is the percentage of area water in Brazil?,[],['http://dbpedia.org/ontology/percentageOfAreaWater'],['http://dbpedia.org/resource/Brazil'],1,1,"['http://dbpedia.org/ontology/percentageOfAreaWater', 'http://dbpedia.org/ontology/percentageOfAreaWater']",0.5,1.0
